miclog2	drug	readingday	method	key_id
1	eth	14	vz	TJK 98
-4.05889368057251	bdq	14	vz	TJK 98
0	pas	14	vz	TJK 98
0	kan	14	vz	TJK 98
1	dlm	14	vz	TJK 98
-2	mxf	14	vz	TJK 98
-3.05889368057251	cfz	14	vz	TJK 98
1.67807197570801	inh	14	vz	TJK 98
-1	lev	14	vz	TJK 98
2	emb	14	vz	TJK 98
-2	ami	14	vz	TJK 98
2	rfb	14	vz	TJK 98
3	rif	14	vz	TJK 98
-1	lzd	14	vz	TJK 98
1	eth	14	vz	TJK 98
-1	lzd	14	vz	TJK 98
2	rfb	14	vz	TJK 98
-2	ami	14	vz	TJK 98
2	emb	14	vz	TJK 98
-4.05889368057251	bdq	14	vz	TJK 98
3	pas	14	vz	TJK 98
3	rif	14	vz	TJK 98
0	kan	14	vz	TJK 98
1.67807197570801	inh	14	vz	TJK 98
1	dlm	14	vz	TJK 98
-1	lev	14	vz	TJK 98
-3.05889368057251	cfz	14	vz	TJK 98
-2	mxf	14	vz	TJK 98
-2	lev	14	vz	TJK 98
3	eth	14	vz	TJK 98
-6.05889368057251	bdq	14	vz	TJK 98
-2	ami	14	vz	TJK 98
-3.05889368057251	mxf	14	vz	TJK 98
-3.05889368057251	pas	14	vz	TJK 98
3	rif	14	vz	TJK 98
1	dlm	14	vz	TJK 98
-2	lzd	14	vz	TJK 98
0	kan	14	vz	TJK 98
0.678071916103363	inh	14	vz	TJK 98
-4.05889368057251	cfz	14	vz	TJK 98
1	emb	14	vz	TJK 98
2	rfb	14	vz	TJK 98
-6.05889368057251	bdq	14	vz	TJK 98
1	emb	14	vz	TJK 98
0	kan	14	vz	TJK 98
0.678071916103363	inh	14	vz	TJK 98
-3.05889368057251	cfz	14	vz	TJK 98
-2	ami	14	vz	TJK 98
3	eth	14	vz	TJK 98
3	rif	14	vz	TJK 98
3	pas	14	vz	TJK 98
2	rfb	14	vz	TJK 98
1	dlm	14	vz	TJK 98
-2	mxf	14	vz	TJK 98
-1	lzd	14	vz	TJK 98
-2	lev	14	vz	TJK 98
2	emb	14	vz	TJK 98
0	kan	14	vz	TJK 98
1	dlm	14	vz	TJK 98
-2	ami	14	vz	TJK 98
-1	mxf	14	vz	TJK 98
